GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,com.aep.backend.domain.log.entity,LogAcao,19,0,0,0,7,0,1,0,1,0
backend,com.aep.backend.domain.departamento.controller,DepartamentoController,8,0,0,0,2,0,2,0,2,0
backend,com.aep.backend.domain.categoria.service,CategoriaService,7,0,0,0,2,0,2,0,2,0
backend,com.aep.backend.domain.log.service,LogService,7,0,0,0,2,0,2,0,2,0
backend,com.aep.backend.domain.enums,Prioridade,0,27,0,0,0,2,0,1,0,1
backend,com.aep.backend.domain.enums,PerfilUsuario,0,21,0,0,0,2,0,1,0,1
backend,com.aep.backend.domain.enums,StatusSolicitacao,69,0,15,0,8,0,11,0,2,0
backend,com.aep.backend.domain.usuario.dto,UsuarioResponse,43,0,0,0,9,0,2,0,2,0
backend,com.aep.backend.domain.usuario.dto,UsuarioRequest,21,0,0,0,1,0,1,0,1,0
backend,com.aep.backend.domain.departamento.service,DepartamentoService,7,0,0,0,2,0,2,0,2,0
backend,com.aep.backend.domain.enums.controller,EnumController,17,0,0,0,3,0,3,0,3,0
backend,com.aep.backend.domain.solicitacao.dto,SolicitacaoResponse.UsuarioInfo,9,0,0,0,1,0,1,0,1,0
backend,com.aep.backend.domain.solicitacao.dto,SolicitacaoResponse,145,0,6,0,26,0,5,0,2,0
backend,com.aep.backend.domain.solicitacao.dto,SolicitacaoRequest,36,0,0,0,1,0,1,0,1,0
backend,com.aep.backend.domain.solicitacao.dto,MoverStatusRequest,15,0,0,0,1,0,1,0,1,0
backend,com.aep.backend.domain.solicitacao.dto,SolicitacaoResponse.CategoriaInfo,9,0,0,0,1,0,1,0,1,0
backend,com.aep.backend.domain.solicitacao.dto,MovimentacaoResponse,50,0,4,0,8,0,4,0,2,0
backend,com.aep.backend.domain.solicitacao.dto,LogAcaoResponse,48,0,2,0,9,0,3,0,2,0
backend,com.aep.backend.domain.solicitacao.dto,SolicitacaoResponse.DepartamentoInfo,9,0,0,0,1,0,1,0,1,0
backend,com.aep.backend.auth.dto,LoginRequest,0,9,0,0,0,1,0,1,0,1
backend,com.aep.backend.auth.dto,AuthResponse,0,15,0,0,0,1,0,1,0,1
backend,com.aep.backend.domain.usuario.entity,UsuarioResumo,21,0,2,0,2,0,3,0,2,0
backend,com.aep.backend.domain.usuario.entity,Usuario,15,3,0,0,3,1,3,1,3,1
backend,com.aep.backend.domain.sla.entity,SlaConfig,0,12,0,0,0,5,0,1,0,1
backend,com.aep.backend.domain.abstraction,DefaultEntity,0,3,0,0,0,1,0,1,0,1
backend,com.aep.backend.domain.abstraction,DefaultCrudController,43,0,0,0,10,0,6,0,6,0
backend,com.aep.backend.domain.abstraction,DefaultCrudService,117,0,6,0,21,0,12,0,9,0
backend,com.aep.backend,BackendApplication,5,3,0,0,2,1,1,1,1,1
backend,com.aep.backend.domain.usuario.service,UsuarioService,51,0,2,0,11,0,3,0,2,0
backend,com.aep.backend.infra.config,SecurityConfig,0,182,0,0,0,28,0,7,0,7
backend,com.aep.backend.infra.config,MongoConfig,0,8,0,0,0,2,0,2,0,2
backend,com.aep.backend.infra.config,DataInitializer,1,163,4,4,0,34,4,8,0,8
backend,com.aep.backend.infra.config,OpenApiConfig,0,40,0,0,0,12,0,2,0,2
backend,com.aep.backend.domain.departamento.entity,DepartamentoResumo,17,0,0,0,2,0,2,0,2,0
backend,com.aep.backend.domain.departamento.entity,DepartamentoDestino,0,12,0,0,0,5,0,1,0,1
backend,com.aep.backend.domain.usuario.controller,UsuarioController,20,0,0,0,4,0,4,0,4,0
backend,com.aep.backend.domain.log.controller,LogController,9,0,0,0,1,0,1,0,1,0
backend,com.aep.backend.domain.solicitacao.service,SolicitacaoService,420,0,24,0,76,0,30,0,18,0
backend,com.aep.backend.infra.exception,GlobalExceptionHandler,0,55,0,0,0,10,0,7,0,7
backend,com.aep.backend.infra.exception,GlobalExceptionHandler.ErrorResponse,0,6,0,0,0,1,0,1,0,1
backend,com.aep.backend.infra.security,JwtTokenProvider,0,63,0,0,0,20,0,6,0,6
backend,com.aep.backend.infra.security,UserDetailsServiceImpl,0,15,0,0,0,2,0,2,0,2
backend,com.aep.backend.infra.security,JwtAuthFilter,0,60,2,6,0,14,2,3,0,1
backend,com.aep.backend.auth,AuthController,0,34,0,0,0,5,0,1,0,1
backend,com.aep.backend.domain.sla.controller,SlaController,5,0,0,0,1,0,1,0,1,0
backend,com.aep.backend.domain.sla.service,SlaService,19,0,0,0,3,0,3,0,3,0
backend,com.aep.backend.domain.solicitacao.controller,SolicitacaoController,132,0,2,0,26,0,11,0,10,0
backend,com.aep.backend.domain.categoria.entity,Categoria,0,12,0,0,0,5,0,1,0,1
backend,com.aep.backend.domain.categoria.entity,CategoriaResumo,17,0,0,0,2,0,2,0,2,0
backend,com.aep.backend.domain.categoria.controller,CategoriaController,8,0,0,0,2,0,2,0,2,0
